Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	19.470588235294116	8.423480118160073	-inf	51	0.982	0.0005	2.3094813028971353e-05
2000	20.04040404040404	9.121978333982176	-inf	99	0.964	0.0005	0.0006403590573204888
3000	20.95	10.293080199823569	20.95	145	0.946	0.0005	0.0008417286475499471
4000	21.87	11.65131323070494	22.78	189	0.9279999999999999	0.0005	0.0010655276642905342
5000	22.6	11.799152511939152	22.78	235	0.91	0.0005	0.0012747842073440553
6000	23.24	12.64683359580571	23.24	273	0.892	0.0005	0.0014792308542463514
7000	25.16	12.903270903147	25.28	312	0.874	0.0005	0.0017308719290627373
8000	26.95	14.526097204686467	27.46	348	0.856	0.0005	0.0019810371266471014
9000	28.98	16.763042683236236	29.9	378	0.838	0.0005	0.002233699427710639
10000	32.28	20.41131058996458	32.28	404	0.82	0.0005	0.0024896542231241862
11000	33.62	20.30555588995288	34.21	432	0.802	0.0005	0.0027181879017088148
12000	34.79	22.02875166685575	35.91	461	0.784	0.0005	0.002952764630317688
13000	35.55	20.499451212166633	36.62	489	0.766	0.0005	0.0031898143556382923
14000	37.88	24.398065497083984	37.88	511	0.748	0.0005	0.0034283585680855645
15000	41.45	29.77360408146787	41.8	527	0.73	0.0005	0.0037023576762941148
16000	46.16	34.44233441565772	46.3	545	0.712	0.0005	0.003991346557935079
17000	50.79	39.5336046927168	50.9	561	0.694	0.0005	0.004241032732857598
18000	54.03	41.69495293197967	54.03	578	0.6759999999999999	0.0005	0.004492528504795498
19000	57.58	43.52658497975691	58.24	593	0.6579999999999999	0.0005	0.004751424060927497
20000	58.85	43.211659306256685	58.85	612	0.6399999999999999	0.0005	0.005007304549217224
21000	60.1	44.58733003892474	60.1	627	0.622	0.0005	0.005261809627215067
22000	62.48	45.38159979551184	62.48	638	0.604	0.0005	0.00551807873778873
23000	69.01	50.05347040915345	69.11	647	0.586	0.0005	0.005775703721576267
24000	73.09	51.61416375376045	73.75	657	0.5680000000000001	0.0005	0.006036319997575548
25000	76.21	52.00967121603443	77.6	669	0.55	0.0005	0.00630252930853102
26000	78.61	53.4791351837331	78.61	679	0.532	0.0005	0.006571909056769477
27000	82.52	54.89034159121256	82.52	687	0.514	0.0005	0.00684755457772149
28000	88.78	57.533743142611534	88.78	695	0.4959999999999999	0.0005	0.007129535211457146
29000	95.02	59.76386533684046	95.02	702	0.478	0.0005	0.007412273486455282
30000	101.76	60.386607786826374	101.76	710	0.45999999999999996	0.0005	0.007694209747844272
31000	107.34	62.609778788939984	107.34	717	0.44199999999999995	0.0005	0.007971475389268663
32000	113.88	63.480592309776064	114.07	723	0.42399999999999993	0.0005	0.008256780438952976
33000	118.19	64.01963683120985	118.19	728	0.4059999999999999	0.0005	0.008550537559721206
34000	125.62	63.63816150707058	125.62	734	0.3879999999999999	0.0005	0.008835728102260165
35000	126.8	64.47123389543587	126.8	739	0.37	0.0005	0.00913231392701467
36000	130.64	64.64619401016581	130.86	745	0.352	0.0005	0.009472399883800083
37000	137.21	63.28875018516323	137.21	750	0.33399999999999996	0.0005	0.00981748554441664
38000	141.56	63.819169533926086	141.56	755	0.31599999999999995	0.0005	0.010125448769993252
39000	144.7	63.4434393771334	145.89	761	0.29799999999999993	0.0005	0.010491932233174642
40000	148.83	62.59425772385196	148.83	767	0.2799999999999999	0.0005	0.010861200094223023
41000	156.02	57.856543277316526	156.67	773	0.262	0.0005	0.011213143799040053
42000	160.71	55.78266666268294	160.71	778	0.244	0.0005	0.011521789762708876
43000	165.07	53.29263645195271	165.07	783	0.22599999999999998	0.0005	0.01185745702849494
44000	167.58	53.028328278383434	167.58	788	0.20799999999999996	0.0005	0.012170973221460978
45000	171.18	51.683726645821515	171.18	793	0.18999999999999995	0.0005	0.01249435477786594
46000	174.58	48.12570622858432	174.58	798	0.17199999999999993	0.0005	0.01283116896947225
47000	178.15	45.17906041519677	178.15	803	0.15400000000000003	0.0005	0.013159654074245028
48000	181.33	41.36787521737127	181.33	808	0.136	0.0005	0.013476719326443143
49000	184.84	36.501430108969714	184.84	813	0.118	0.0005	0.013817302783330281
50000	186.66	33.93117150939531	186.66	818	0.1	0.0005	0.014157944321632386
51000	188.42	32.17302596896972	188.42	823	0.0984	0.0005	0.01449828392929501
52000	189.18	31.206531367648026	189.18	829	0.09680000000000001	0.0005	0.014854807390107048
53000	190.04	30.42299130591862	190.04	834	0.0952	0.0005	0.015190881888071696
54000	191.55	28.917598448003936	191.55	839	0.0936	0.0005	0.015533100300365024
55000	191.94	28.56144954304666	191.94	844	0.092	0.0005	0.01587437245580885
56000	192.09	28.563996569107765	192.09	849	0.09040000000000001	0.0005	0.016221207777659098
57000	192.4	28.581462523810774	192.4	854	0.0888	0.0005	0.01656381732887692
58000	192.23	29.971271244309946	192.4	860	0.0872	0.0005	0.01690225170718299
59000	194.87	23.34808557462474	194.87	865	0.08560000000000001	0.0005	0.017245538963211907
60000	195.47	23.190280291535938	195.47	870	0.084	0.0005	0.017585324578815037
61000	197.23	19.154036128189794	197.23	875	0.0824	0.0005	0.017926098571883306
62000	197.16	19.156575894454626	197.23	880	0.08080000000000001	0.0005	0.018295285105705262
63000	196.98	19.1734086693003	197.23	885	0.0792	0.0005	0.018695834279060363
64000	196.98	19.1734086693003	197.23	890	0.0776	0.0005	0.019060522781478035
65000	196.98	19.1734086693003	197.23	895	0.07600000000000001	0.0005	0.01945503228240543
66000	196.8	19.22862449578752	197.23	900	0.07440000000000001	0.0005	0.019893658028708565
67000	196.63	19.27467509453791	197.23	905	0.0728	0.0005	0.02030157572693295
68000	195.8	20.01849145165539	197.23	911	0.07120000000000001	0.0005	0.020750549104478624
69000	195.56	20.11035554136227	197.23	916	0.06960000000000001	0.0005	0.02125889970196618
70000	195.38	20.156775535784487	197.23	921	0.068	0.0005	0.021696480777528553
71000	195.73	19.893644713827587	197.23	926	0.06640000000000001	0.0005	0.022137400176790025
72000	195.81	19.866401284580963	197.23	931	0.0648	0.0005	0.022580651044845582
73000	195.7	19.873348988029164	197.23	936	0.0632	0.0005	0.023024134503470527
74000	195.69	19.87143427133532	197.23	941	0.06160000000000001	0.0005	0.023482649591233994
75000	195.7	19.866303128664875	197.23	946	0.060000000000000005	0.0005	0.023918955127398174
76000	195.33	20.125632909302496	197.23	951	0.0584	0.0005	0.024346616135703193
77000	197.21	8.100981422025358	197.23	956	0.0568	0.0005	0.024802013039588927
78000	197.07	8.17221512198498	197.23	961	0.0552	0.0005	0.025303150018056234
79000	197.07	8.17221512198498	197.23	966	0.05360000000000001	0.0005	0.02573469791147444
80000	197.07	8.17221512198498	197.23	971	0.052000000000000005	0.0005	0.02613840613100264
81000	197.14	8.167031284377451	197.23	976	0.05040000000000001	0.0005	0.026538378861215378
82000	197.25	8.1306518803845	197.25	981	0.0488	0.0005	0.026922238998942905
83000	197.32	8.123890693503943	197.32	986	0.0472	0.0005	0.027298594183391995
84000	197.22	8.151785080582043	197.32	991	0.0456	0.0005	0.02769539217154185
85000	197.22	8.151785080582044	197.32	996	0.04400000000000001	0.0005	0.028086600767241583
86000	197.4	8.011242100947891	197.4	1001	0.04240000000000001	0.0005	0.02846937663025326
87000	197.76	7.770611301564378	197.76	1006	0.0408	0.0005	0.02883362935649024
88000	198.56	5.282650849715511	198.56	1011	0.039200000000000006	0.0005	0.029223386976453995
89000	198.8	4.772839825512691	198.8	1016	0.0376	0.0005	0.029626424643728468
90000	198.96	4.463003472998873	198.99	1021	0.036000000000000004	0.0005	0.030024039546648663
91000	198.98	4.463137909587828	198.99	1026	0.034400000000000014	0.0005	0.030383981135156418
92000	198.86	4.772881729102451	198.99	1031	0.03280000000000001	0.0005	0.030775483979119195
93000	198.97	4.670021413227137	198.99	1036	0.031200000000000006	0.0005	0.031205915609995524
94000	198.67	5.387123536730896	198.99	1042	0.0296	0.0005	0.03158112486203512
95000	198.81	5.235828492225465	198.99	1047	0.027999999999999997	0.0005	0.031961295008659366
96000	199.18	3.80362984529252	199.18	1052	0.026400000000000007	0.0005	0.03234087844689687
97000	199.18	3.8036298452925195	199.18	1057	0.024800000000000003	0.0005	0.03270787901348538
98000	199.16	3.8774218238411975	199.32	1062	0.023200000000000012	0.0005	0.033081600533591375
99000	199.16	3.8774218238411975	199.32	1067	0.021600000000000008	0.0005	0.03353934864203135
100000	198.98	3.9899373428664267	199.32	1072	0.02	0.0005	0.03398457129796346
