Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	20.458333333333332	11.064128097394551	-inf	48	0.982	0.0005	2.4601022402445476e-05
2000	21.27956989247312	11.336842206401965	-inf	93	0.964	0.0005	0.0006900618473688762
3000	21.96	10.733051756140936	22.13	140	0.946	0.0005	0.0009409994549221463
4000	22.95	11.074633176769332	23.46	179	0.9279999999999999	0.0005	0.0011858271227942574
5000	22.94	11.216790984947522	23.46	226	0.91	0.0005	0.00141991568936242
6000	22.86	11.349907488609762	23.46	268	0.892	0.0005	0.0016747305128309463
7000	23.77	10.68162440830045	23.98	309	0.874	0.0005	0.001959035595258077
8000	25.0	12.075595223424806	25.52	347	0.856	0.0005	0.0022210105922487048
9000	25.53	14.357196801604413	25.76	386	0.838	0.0005	0.002507077323065864
10000	27.54	16.59904816548226	27.6	417	0.82	0.0005	0.0027741460667716133
11000	29.4	22.094795767329465	29.65	449	0.802	0.0005	0.003061066998375787
12000	32.19	23.57019091988862	32.27	478	0.784	0.0005	0.0033680903911590576
13000	35.57	27.38183887177777	35.57	502	0.766	0.0005	0.003658360176616245
14000	36.68	27.723232134799865	36.68	528	0.748	0.0005	0.003944076432122125
15000	39.74	28.971234008926853	40.28	550	0.73	0.0005	0.004243804083930122
16000	44.9	33.439647127324776	45.29	564	0.712	0.0005	0.004513377878401015
17000	46.64	30.98112974053722	46.96	585	0.694	0.0005	0.0048175864087210765
18000	51.13	33.05953871426521	51.51	599	0.6759999999999999	0.0005	0.005103756520483229
19000	57.39	40.297368400430315	57.39	609	0.6579999999999999	0.0005	0.005411613980929057
20000	63.18	41.965790830151164	63.29	622	0.6399999999999999	0.0005	0.005698013703028361
21000	67.26	45.54505900753671	67.26	632	0.622	0.0005	0.0060154013501273265
22000	71.73	46.185247644675464	71.73	647	0.604	0.0005	0.00633344484700097
23000	73.45	48.6412119503616	75.01	656	0.586	0.0005	0.006634767850240072
24000	77.22	50.57520736487395	77.43	668	0.5680000000000001	0.0005	0.006965846419334411
25000	83.92	54.689062891953085	83.92	675	0.55	0.0005	0.007319099505742391
26000	89.03	57.11785272574592	89.03	686	0.532	0.0005	0.007745089597172208
27000	91.28	58.88736366997592	91.28	696	0.514	0.0005	0.008152383698357477
28000	93.36	60.62153412773385	96.65	705	0.4959999999999999	0.0005	0.008547570440504287
29000	97.66	62.37118244830701	97.94	712	0.478	0.0005	0.008977830277548896
30000	101.36	64.46914300655779	101.36	717	0.45999999999999996	0.0005	0.009423621826701693
31000	106.68	66.38160588596814	107.86	725	0.44199999999999995	0.0005	0.00973449322912428
32000	110.74	66.37222611906277	110.74	731	0.42399999999999993	0.0005	0.010139600104755826
