Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	21.565217391304348	9.520349312903257	-inf	46	0.982	0.0005	2.291699250539144e-05
2000	21.21505376344086	10.624428599300089	-inf	93	0.964	0.0005	0.0006405374738905165
3000	22.5	11.862967588255477	22.53	135	0.946	0.0005	0.0008824235863155789
4000	21.35	10.507497323340129	22.95	187	0.9279999999999999	0.0005	0.001089161303308275
5000	21.83	11.911385309862158	23.21	227	0.91	0.0005	0.001343255771530999
6000	23.4	12.342609124492276	23.43	265	0.892	0.0005	0.0015773693720499673
7000	24.86	13.870126171019498	26.51	303	0.874	0.0005	0.001841257479455736
8000	28.17	16.571092299543803	28.17	333	0.856	0.0005	0.002110731469260322
9000	27.26	15.302039079808937	28.51	377	0.838	0.0005	0.002352802422311571
10000	28.32	16.75761319520176	28.71	405	0.82	0.0005	0.0026152853833304513
11000	27.77	16.647435237897756	29.99	444	0.802	0.0005	0.0028749079836739434
12000	31.11	20.188558640972865	31.11	469	0.784	0.0005	0.003125142918692695
13000	35.19	23.453227922825462	35.19	489	0.766	0.0005	0.003370462854703267
14000	39.37	29.857881706510927	39.46	507	0.748	0.0005	0.003621484372350905
15000	43.49	31.705676147970728	43.49	528	0.73	0.0005	0.003867986798286438
16000	47.3	30.96562610379451	47.36	550	0.712	0.0005	0.004118702411651611
17000	50.93	32.55679806123446	50.93	566	0.694	0.0005	0.004376076923476325
18000	55.01	35.537725025668145	55.19	581	0.6759999999999999	0.0005	0.004662914805942111
19000	55.69	36.0096362103257	56.61	598	0.6579999999999999	0.0005	0.004944123360845778
20000	53.36	35.36651523687342	56.61	618	0.6399999999999999	0.0005	0.005240721106529236
21000	56.55	37.830510173668024	56.92	634	0.622	0.0005	0.005502920481893751
22000	61.98	40.4907347426544	61.98	645	0.604	0.0005	0.0058058763874901664
23000	66.03	41.12625803546926	66.03	657	0.586	0.0005	0.006079822381337484
24000	69.23	45.922294150009535	70.12	667	0.5680000000000001	0.0005	0.006378255089124043
25000	72.78	46.66831473280346	72.97	675	0.55	0.0005	0.0066714655028449164
26000	75.38	48.06657466472933	75.38	685	0.532	0.0005	0.006966663599014282
27000	82.44	51.440707615661736	82.57	693	0.514	0.0005	0.007244912253485785
28000	88.24	52.62340163843459	88.24	701	0.4959999999999999	0.0005	0.007555799550480313
29000	91.8	53.82267180287504	92.76	712	0.478	0.0005	0.007858745124604967
30000	97.49	54.35834710511348	97.49	719	0.45999999999999996	0.0005	0.008173312677277458
31000	105.81	55.39976443993242	105.81	727	0.44199999999999995	0.0005	0.008460656603177389
32000	111.31	56.88316007396213	111.31	732	0.42399999999999993	0.0005	0.008759903113047281
33000	115.0	57.868298748105595	115.4	738	0.4059999999999999	0.0005	0.009073906540870667
34000	120.71	58.6000503412753	120.71	745	0.3879999999999999	0.0005	0.009373427629470825
35000	124.52	59.91468601269643	124.52	751	0.37	0.0005	0.009699323640929328
36000	129.63	61.0762891800083	129.63	756	0.352	0.0005	0.01002226710319519
37000	134.37	61.092168892583935	134.37	762	0.33399999999999996	0.0005	0.010336474180221558
38000	138.44	59.9268420659724	138.44	767	0.31599999999999995	0.0005	0.010643087029457092
39000	144.54	59.98406788473086	144.54	773	0.29799999999999993	0.0005	0.010951260659429762
40000	148.35	59.332853462478944	148.35	778	0.2799999999999999	0.0005	0.011270076301362779
41000	152.94	58.50313154011502	152.94	783	0.262	0.0005	0.011572759879959954
42000	156.86	57.940144977381614	156.86	788	0.244	0.0005	0.01188910702864329
43000	159.66	57.563742060432446	159.66	793	0.22599999999999998	0.0005	0.012207938565148247
44000	164.17	55.337158401927354	164.17	798	0.20799999999999996	0.0005	0.01253478295273251
45000	168.64	51.60203871941495	168.64	803	0.18999999999999995	0.0005	0.01285891506406996
46000	172.84	48.085698497578264	172.84	808	0.17199999999999993	0.0005	0.01319267299440172
47000	178.67	42.261342856090124	178.67	813	0.15400000000000003	0.0005	0.01351966917514801
48000	182.11	39.91287887386727	182.11	818	0.136	0.0005	0.013852817283736335
49000	183.47	39.83903989806983	183.47	823	0.118	0.0005	0.014196207655800713
50000	187.11	33.07654607119674	187.11	828	0.1	0.0005	0.014529879556761847
51000	188.17	32.852413914353384	188.17	833	0.0984	0.0005	0.014873981012238396
52000	190.31	29.78982880111936	190.31	838	0.09680000000000001	0.0005	0.015217009584108989
53000	191.56	28.978723229293593	191.56	843	0.0952	0.0005	0.015576407313346863
54000	194.89	19.682426171587682	194.89	848	0.0936	0.0005	0.015970141225390963
55000	196.12	16.60619161638213	196.12	853	0.092	0.0005	0.016365529033872818
56000	196.19	16.611258230489348	196.19	858	0.09040000000000001	0.0005	0.016752846174769933
57000	196.73	15.285192180669506	196.89	863	0.0888	0.0005	0.017091530561447143
58000	196.91	8.083433676353136	198.12	869	0.0872	0.0005	0.017450006670422024
59000	196.72	8.574473744784573	198.12	874	0.08560000000000001	0.0005	0.017819344401359558
60000	196.3	9.412226091632096	198.12	879	0.084	0.0005	0.018176792330212063
61000	196.29	9.419442658671478	198.12	885	0.0824	0.0005	0.01852036628458235
62000	195.83	9.846882755471398	198.12	890	0.08080000000000001	0.0005	0.01886768870883518
63000	195.12	10.894292083471969	198.12	895	0.0792	0.0005	0.019208106928401525
64000	194.31	11.36634945793943	198.12	901	0.0776	0.0005	0.019559520151880054
65000	193.95	11.23866095226651	198.12	906	0.07600000000000001	0.0005	0.019903330008188884
66000	192.43	12.775957889723964	198.12	912	0.07440000000000001	0.0005	0.020249333249198066
67000	190.72	14.047832573034176	198.12	918	0.0728	0.0005	0.020594466725985208
68000	188.5	15.945845854014769	198.12	924	0.07120000000000001	0.0005	0.02094271507528093
69000	185.04	18.559590512724142	198.12	931	0.06960000000000001	0.0005	0.021293887164857653
70000	181.94	20.46695873841544	198.12	937	0.068	0.0005	0.02164300004641215
71000	179.6	20.80672968056249	198.12	943	0.06640000000000001	0.0005	0.021992198758655126
72000	178.06	20.679854931792924	198.12	949	0.0648	0.0005	0.022334181666374207
73000	177.57	20.375600604644763	198.12	954	0.0632	0.0005	0.0226811644103792
74000	177.88	20.478417907641205	198.12	959	0.06160000000000001	0.0005	0.023029284146096972
75000	176.12	20.354498274337296	198.12	966	0.060000000000000005	0.0005	0.02337225450409783
76000	176.34	20.598650441230365	198.12	971	0.0584	0.0005	0.023717885149849786
77000	176.01	20.304430550990592	198.12	976	0.0568	0.0005	0.024066456688774957
78000	176.17	20.45583290897733	198.12	981	0.0552	0.0005	0.024412380192014905
79000	175.55	20.180374129336652	198.12	987	0.05360000000000001	0.0005	0.024765859643618267
