Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
60000	197.47	7.641276071442518	197.47	883	0.084	0.0005	0.018552002641889782
61000	197.93	7.192016407100306	197.93	888	0.0824	0.0005	0.01891019927130805
62000	198.47	5.975709162936228	198.47	893	0.08080000000000001	0.0005	0.019294942882325913
63000	198.99	4.486635710641103	198.99	898	0.0792	0.0005	0.019638839231597052
64000	198.82	4.758949463904822	198.99	903	0.0776	0.0005	0.019979290631082322
65000	198.83	4.760367632861983	198.99	908	0.07600000000000001	0.0005	0.020324529674318102
66000	199.18	3.525280130713018	199.18	913	0.07440000000000001	0.0005	0.020666340589523314
67000	198.24	13.30497651256852	199.18	918	0.0728	0.0005	0.021000510387950474
68000	196.93	15.108444658534511	199.18	924	0.07120000000000001	0.0005	0.02133465071519216
69000	195.95	16.13404784919147	199.18	930	0.06960000000000001	0.0005	0.02167044758796692
70000	194.91	16.954701412882503	199.18	935	0.068	0.0005	0.022006054917971293
71000	194.52	17.23570712213456	199.18	940	0.06640000000000001	0.0005	0.022341652512550353
72000	193.45	18.854376149849138	199.18	946	0.0648	0.0005	0.02267030894756317
73000	193.27	18.876893282529306	199.18	951	0.0632	0.0005	0.02301119367281596
74000	192.16	19.617706287943047	199.18	957	0.06160000000000001	0.0005	0.0233532006210751
75000	191.53	19.980718205309834	199.18	962	0.060000000000000005	0.0005	0.023697917792532178
76000	190.74	20.41255496012197	199.18	967	0.0584	0.0005	0.024028664098845586
77000	190.41	20.408378181521435	199.18	972	0.0568	0.0005	0.024370669192738004
78000	189.29	20.928112671715052	199.18	978	0.0552	0.0005	0.024708726273642647
79000	188.78	21.16959139898548	199.18	983	0.05360000000000001	0.0005	0.025052602887153625
80000	187.07	22.780805516925867	199.18	989	0.052000000000000005	0.0005	0.02539249406920539
81000	185.59	24.86849211351585	199.18	995	0.05040000000000001	0.0005	0.025731372634569805
82000	185.76	24.90827974790712	199.18	1000	0.0488	0.0005	0.02607514500617981
83000	185.41	24.7915691314608	199.18	1005	0.0472	0.0005	0.02641882730854882
84000	185.06	24.72360006147972	199.18	1010	0.0456	0.0005	0.026762633721033734
85000	185.57	21.829454871801083	199.18	1016	0.04400000000000001	0.0005	0.027127815153863696
86000	184.03	22.73035635444372	199.18	1022	0.04240000000000001	0.0005	0.027471097773975797
87000	182.03	24.0630235007989	199.18	1029	0.0408	0.0005	0.027809603412946065
88000	179.88	25.598156183600413	199.18	1035	0.039200000000000006	0.0005	0.028149074117342632
89000	177.6	25.72041990325975	199.18	1042	0.0376	0.0005	0.028500020106633505
90000	175.36	27.174443876554307	199.18	1048	0.036000000000000004	0.0005	0.0288453694846895
91000	174.21	26.815404155074745	199.18	1054	0.034400000000000014	0.0005	0.029191071920924717
92000	174.92	26.953545221361882	199.18	1059	0.03280000000000001	0.0005	0.02953846083747016
93000	175.85	27.033821409486304	199.18	1064	0.031200000000000006	0.0005	0.029900132682588364
94000	174.81	27.364098742695695	199.18	1070	0.0296	0.0005	0.030249345302581786
95000	173.99	27.368410622467646	199.18	1076	0.027999999999999997	0.0005	0.030590147707197403
96000	174.06	27.870708638281876	199.18	1081	0.026400000000000007	0.0005	0.030930249955919052
97000	174.62	27.501919932979227	199.18	1087	0.024800000000000003	0.0005	0.03127702123588986
98000	172.32	27.527760533686713	199.18	1093	0.023200000000000012	0.0005	0.03162045313252343
99000	170.1	26.410414612421366	199.18	1100	0.021600000000000008	0.0005	0.03197067843543159
100000	166.74	26.80955799710245	199.18	1107	0.02	0.0005	0.0323143654399448
